value
North Khorasan Province
Kerman Province
Ilam Province
Lorestan Province
Markazi Province
Chaharmahal and Bakhtiyari Province
Kermanshah Province
Hamadan Province
Qazvin Province
Gilan Province
Zanjan Province
Semnan Province
Isfahan Province
Kohgiluye and Buyer Ahmad Province
Kurdistan Province
West Azerbaijan Province
Fars Province
Bushehr Province
Ardabil Province
Mazandaran Province
Golestan Province
Razavi Khorasan
South Khorasan Province
Sistan and Baluchestan Province
Tehran Province
Qom Province
Alborz Province
East Azerbaijan Province
Yazd Province
Hormozgan Province
Khuzestan Province
